community_id,label,description,size,keywords,centroid_x,centroid_y,representative_paper_ids,representative_paper_titles
0,Autonomous Chemistry Labs,Running synthesis experiments and mining materials literature with robotic platforms.,57,materials; protein; graph; chemistry; extraction; molecule; transformer; nanocrystals,630.28,549.58,6fe3779fe5f2e9402abdd08ad8db41a0f13a99eb; b33577b6624da43765d215d9954531e3c7e48e52; 11355ce57ccdcaeed7941fc95516838d543c5cb3; da54bda4ef0ba0f013ac639fb6a3dea1e4745ad4; 1951e288ade1a453c3f1bb544f3e5690a6d177c1; 3e5426720c442975ee4ae1df7720e05e67723949,Autonomous chemical research with large language models | ChatGPT Chemistry Assistant for Text Mining and the Prediction of MOF Synthesis | An automatic end-to-end chemical synthesis development platform powered by large language models
1,Tool-Using Science Agents,"Equipping models with biology and chemistry tools, then benchmarking their reasoning.",54,protein; gene; cell; chemical; biological; ai agents; scientific reasoning; annotation,725.25,543.89,354dcdebf3f8b5feeed5c62090e0bc1f0c28db06; f53a955ea1812fb0481504fdfd8febcb2a553a45; 95154330d74be6c79ac45e97b38ef0038e2b8e2a; bba1d4de76b8330bea5f73ddeb99da4e01c02e16; bc155d2fd40da6d328ae895ff97d067171e7f3ab; 3dd5ad34012164c4ec9c571a12cc6a7561683dea,Augmenting large language models with chemistry tools | SciEval: A Multi-Level Large Language Model Evaluation Benchmark for Scientific Research | Towards Scientific Intelligence: A Survey of LLM-based Scientific Agents
2,Idea Generation & Review,"Generating novel hypotheses and papers, then judging their novelty against humans.",52,ideas; iclr; llm-generated; peer; ideation; aspr; innovation; reviewers,761.55,444.9,33161a5a9b5dcb635b5a97475e6a6209a69ada7d; bfed3d4c959b64148811376965db84f77ea8292e; 92c82a51ad13c361d052987694cf93d6a72d5789; 591f5644aede42a2447e48eedb112c70e80089af; 110f5dc6d5bfe67138d64c261d6851c727021d1f; 5aea5c8b536380c5ad1d42108c2c6767622318ee,"The AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery | Transforming Science with Large Language Models: A Survey on AI-assisted Scientific Discovery, Experimentation, Content Generation, and Evaluation | CycleResearcher: Improving Automated Research via Automated Review"
3,ML Engineering Agents,Benchmarking agents that run data-science and machine-learning experiments end to end.,49,data science; ai agents; web; dr; genai; kaggle; analytical; autonomous data,683.92,249.28,594773309239331e6afcd2892136c5233383d3a5; 7c44b7fdcec2e517799f6c54f6ba42bf1a89d2e6; b8ee0b5322382807e687c95cc87b059d3f348495; dc491963de5b0e69b10094092753f010c3f72977; e87d34032cc2a77a7711a651296a8f51c9474929; 01e863776846ebd1a9a7acc4a9ca24217f953aa2,AgentRxiv: Towards Collaborative Autonomous Research | MLE-bench: Evaluating Machine Learning Agents on Machine Learning Engineering | MLAgentBench: Evaluating Language Agents on Machine Learning Experimentation
4,Clinical AI Assistants,Building multimodal medical assistants and simulating clinicians or study subjects.,37,clinical; medical; reports; inductive; data science; visual; rules; social,671.35,641.43,f22d71c7ce9720ba1f717a4f1181488200e78198; f497251cbfab8a4a403ebe55424cbf5fd0befcc9; 15074299f9b3cfd1230f29fca3a26236dc8681b8; 592ac35991e583fc37c26ee6659d2deb85142ad9; 59b3fbf146b29b581b677ec4384f14cee87997a4; 44d16a076c00ecada3d425203377e4ec951c4ed0,LLaVA-Med: Training a Large Language-and-Vision Assistant for Biomedicine in One Day | Generative Pre-Trained Transformer (GPT) in Research: A Systematic Review on Data Augmentation | A multimodal generative AI copilot for human pathology
5,Systematic Review Triage,Drafting Boolean searches and screening studies to speed up evidence synthesis.,31,screening; extraction; pubtator; sr; academic; topic; health; evidence,470.23,793.0,65871d16002bb4c2d34f804801cb60f9774140b0; d91bd7bdea31775302a8a0b997b6d67bf20ac297; 70813142dcee9fd455b0f587153e21deaf7b8005; d46b60993f4a192ba1a6621592f777f0e156f13d; 74053d520bc504a6b572e3e41b4284690b435d19; aff0fe00ed7892d1185e8c5b66d318d3892abe6e,The emergence of large language models as tools in literature reviews: a large language model-assisted systematic review | Can ChatGPT Write a Good Boolean Query for Systematic Review Literature Search? | Can large language models replace humans in systematic reviews? Evaluating GPT‐4's efficacy in screening and extracting data from peer‐reviewed and grey literature in multiple languages
6,Evolved Algorithm Design,Evolving programs and heuristics to crack open math and optimization problems.,30,evolutionary; heuristics; combinatorial; alphaevolve; mathematical; refinement; domain knowledge; optimizers,469.57,272.57,d32ba88571141ed0ebe7aeefbaa4ccaf8cda7be3; ed32e5bb11a9e5e2f03ea805782e8670a6e10efd; a2e128be33b85f8f91515e205bf0237ecc0546cc; 478f71f1cd9bad0435560544a9dce7ca49d97766; 860ba78f9789bbfc99c299b18558ca19430d8fea; be7a88babf78512b545f585517704cb597388cbc,Mathematical discoveries from program search with large language models | AlphaEvolve: A coding agent for scientific and algorithmic discovery | Evolution of Heuristics: Towards Efficient Automatic Algorithm Design Using Large Language Model
7,Formal Theorem Proving,Searching Lean proofs and autoformalizing informal mathematics into checkable code.,27,formal; theorem; mathematical; proofs; lean; expert iteration; geometry; proving,131.37,493.32,87875a07976c26f82705de1fc70041169e5d652b; 7899f3ec633080ac9d9b6458f1e1c35e86e6ec5c; 7de36d6b14aadc8cdb6ad1340b9ca64b15375bca; c28e95a06dfcf13fc65a1cac83722f53e34f12a5; a05d5102ce84d1830e1e0d8b7a6a7918bd9cfb68; c116dd5aac94385dcd8626e4f4991d99e9ce5451,"LeanDojo: Theorem Proving with Retrieval-Augmented Language Models | Formal Mathematical Reasoning: A New Frontier in AI | Draft, Sketch, and Prove: Guiding Formal Theorem Provers with Informal Proofs"
8,Omics Foundation Models,"Pretraining foundation models on single-cell, genome and protein sequence data.",14,single-cell; scgpt; protein; delivery; cells; biological; foundation model; sequencing,842.02,546.21,13dc81fce2c73de67dbe3829a32ec23d663cec89; b66e776502b8484a09f8759c8dc3737ebe714f34; 275fb93244b5a465d7e30fc6111e3403b47557be; 7d281e18a7416dfd5e67809c21663244426f6554; 7691e9a5e27368f9a3a9fc18787069c206513ff2; 7f65931fb6bbfca0496c919e83ed40e910b2dc5f,scGPT: toward building a foundation model for single-cell multi-omics using generative AI | Controllable protein design with language models | scGPT: Towards Building a Foundation Model for Single-Cell Multi-omics Using Generative AI
9,Biomedical Research Agent,One agent executing biomedical protocols and analyses without preset templates.,1,biomni; protocols; systematic benchmarking strong; artificial intelligence agent; biomedical artificial; predefined templates systematic; language model reasoning; analysis molecular cloning-without,828.57,506.68,5ff17368b70aadad94340002f810e75057b6efe4,Autonomous biomedical research with an artificial intelligence agent.
