topic_id,label,description,size,keywords,centroid_x,centroid_y,representative_paper_ids,representative_paper_titles
2,Literature Screening,"Measuring how well models sift abstracts, extract data and appraise clinical text.",47,extraction; responses; screening; clinical; concerns; literature search; criteria; qualitative,476.68,823.28,74053d520bc504a6b572e3e41b4284690b435d19; 65871d16002bb4c2d34f804801cb60f9774140b0; d46b60993f4a192ba1a6621592f777f0e156f13d; 1dc91d5e9466080ea1c180918d7bb47d5c5b44e5; 70813142dcee9fd455b0f587153e21deaf7b8005; cccb129527fbe900c6f94dd8a6ad4b408c403152,Potential Roles of Large Language Models in the Production of Systematic Reviews and Meta-Analyses | The emergence of large language models as tools in literature reviews: a large language model-assisted systematic review | Are ChatGPT and large language models “the answer” to bringing us closer to systematic review automation?
8,Data Science Agents,"Benchmarking agents that load raw datasets, run analyses and defend the findings.",28,data science; feature; data-driven; tabular; scieval; domain knowledge; discoveryworld; data exploration,654.24,273.88,3cabe88c2ff476d35cd179525c7dfe474b4b75bb; 45b7c7448768b51b6dbd9b76495c9cd9d110bd91; 395c978221a21ee47c84a40a2ef11fb4d012fca1; 48c83799530dc523ee01e6c1c40ad577d5c10a16; 53f7efc5cadfe7d1a9313fd649947fbf8f22c553; ecd5d38b8590f6e6a504b29110d16ff717cd56ef,BLADE: Benchmarking Language Model Agents for Data-Driven Science | ScienceAgentBench: Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery | DSBench: How Far Are Data Science Agents from Becoming Data Science Experts?
0,Formal Theorem Proving,Generating machine-checked proofs in Lean and scoring them on math benchmarks.,25,formal; theorem; mathematical; proofs; lean; geometry; specification; proving,82.38,562.73,ec6a8bc007ba9573809ff9a972f6ed300dfd89ce; c98038be92c3d8bf0e2150f702830373ba708586; 3648515cc35b517cdf60331cc4870e24616f9939; a05d5102ce84d1830e1e0d8b7a6a7918bd9cfb68; 1a30dfd53be562d10a7cc33bf475c1c6569f659e; 417864258c936d4c305feb6ae971ab079285e8da,APOLLO: Automated LLM and Lean Collaboration for Advanced Formal Reasoning | Seed-Prover: Deep and Broad Reasoning for Automated Theorem Proving | DeepSeek-Prover: Advancing Theorem Proving in LLMs through Large-Scale Synthetic Data
1,Evolved Algorithm Design,Mutating and scoring candidate code to find faster heuristics and algorithms.,24,evolutionary; heuristics; combinatorial; alphaevolve; algorithm; optimization modeling; mathematical; delivery,416.73,198.49,fbc0b5e1b822796d7ae97268def2e0993b5da644; 8f9e7812aad3a1162424d3b094d2b425f9f701b6; be7a88babf78512b545f585517704cb597388cbc; 1c259361caa85c2d95a7d04e5e42fa98693da85b; a2e128be33b85f8f91515e205bf0237ecc0546cc; 9761e9c0f5651200924a844d999dd802f8a2f37b,Algorithm Discovery With LLMs: Evolutionary Search Meets Reinforcement Learning | LLaMEA: A Large Language Model Evolutionary Algorithm for Automatically Generating Metaheuristics | ReEvo: Large Language Models as Hyper-Heuristics with Reflective Evolution
11,Discovery Agent Surveys,Surveying agents that carry the scientific method from hypothesis to result.,23,hypothesis; social; simulation; risks; kosmos; ai scientists; agent-based; behavior,720.15,427.82,52b6d5416af1208e2c75dc86c7d82c3b255b2088; 95154330d74be6c79ac45e97b38ef0038e2b8e2a; 591f5644aede42a2447e48eedb112c70e80089af; 8a816b4d4ee63804615dba39269948fda63b1c21; 5aea5c8b536380c5ad1d42108c2c6767622318ee; 9678af027022328f143ee2b627ee93ba313a4e7c,Exploring the role of large language models in the scientific method: from hypothesis to discovery | Towards Scientific Intelligence: A Survey of LLM-based Scientific Agents | From Automation to Autonomy: A Survey on Large Language Models in Scientific Discovery
17,Materials Text Mining,Pulling structured synthesis and property records out of materials literature.,22,materials; nanocrystals; extraction; entity; mof; properties; sentences; simple,547.35,569.91,5dabefa3f491037b0cd9902819de0e7805420479; da54bda4ef0ba0f013ac639fb6a3dea1e4745ad4; e4e71a8465f4b329400e2e7832bc3d85f1f0a708; 512c3a8b0d5462fe8a98a1713a02d1a3186e3aae; bf27c81faad0dd21bd39c45ee5e85300577fda66; b4c80344081d8c548fc4d68868b8262182a146fa,Applications of natural language processing and large language models in materials discovery | Structured information extraction from scientific text with large language models | Harnessing Large Language Models to Collect and Analyze Metal-Organic Framework Property Data Set.
6,ML Engineering Agents,"Agents that write training code, tune models and climb Kaggle-style leaderboards.",20,ai agents; ml; core-bench; kaggle; hyperparameter; claude; finding; kernels,641.06,170.97,0071fc8401253dfbe33c36f68c1ca7b80ab13a56; 6eeaf1e7b3be81eb1f44f80906757964e6183fec; b8ee0b5322382807e687c95cc87b059d3f348495; 7c44b7fdcec2e517799f6c54f6ba42bf1a89d2e6; d0cd8b45949b959c316a3ed75a4683d0a70b1aa9; 363aaf46abbd4a7d48b48cdcbaf401508cd7f298,MLR-Bench: Evaluating AI Agents on Open-Ended Machine Learning Research | AIDE: AI-Driven Exploration in the Space of Code | MLAgentBench: Evaluating Language Agents on Machine Learning Experimentation
18,Materials Design Agents,Coupling multi-agent graph reasoning to simulators to propose new materials.,17,materials; genai; parametric; mechanics; simulations; graph; ontological; energy,630.33,482.95,8c44c3fa1d3cbc9cbde4cb028f598f1999d539d7; e51dff31f56847c16de3a2f2682d16109537b96e; 0f6439b95aed189908c628f1103dbcef8541cc2e; 0a4f3a7b6415e90679a5e2627493aded7631a908; dbbcdb281ed6aa646af0402172cf8a7cfda85d5c; 3bddda884c5264d2d3ae7087c2d570243dbe1db4,Generative Retrieval-Augmented Ontologic Graph and Multiagent Strategies for Interpretive Large Language Model-Based Materials Design | LLM and Simulation as Bilevel Optimizers: A New Paradigm to Advance Physical Scientific Discovery | SciAgents: Automating scientific discovery through multi-agent intelligent graph reasoning
4,Clinical Decision Agents,Multimodal assistants reading scans and notes to reason toward a diagnosis.,16,clinical; medical; reports; amie; vision-language; txagent; pathchat; visual,743.77,800.88,15074299f9b3cfd1230f29fca3a26236dc8681b8; 42535556d6fa176751774b7084f3b282093b026d; 44d16a076c00ecada3d425203377e4ec951c4ed0; 0306451cafda525e6eb0ff7e55ab2f724ebf0c67; 31d1c7055635090186b1d667055c990b8b6d828b; f4793adffd6f67ffcb93ccfc5672ab301b8a2b96,A multimodal generative AI copilot for human pathology | MedRAX: Medical Reasoning Agent for Chest X-ray | MedAgents: Large Language Models as Collaborators for Zero-shot Medical Reasoning
15,Protein Language Models,Training sequence models on proteins and genomes to predict biological function.,16,protein; sequences; resource; bioinformatics; evolution; antibodies; enzyme; genomic,819.93,607.11,1fcfd53125b016aa47bbaffb0f6f0f1c85a09d77; b91012359557fb150b0088252368a584940379ea; bc155d2fd40da6d328ae895ff97d067171e7f3ab; f9ea17354f718e149395127e0b94264b7771b1bb; 9af4f2599858d937d04c983ee6395ca5f678d11d; 3dd5ad34012164c4ec9c571a12cc6a7561683dea,Protein Large Language Models: A Comprehensive Survey | Bridging artificial intelligence and biological sciences: a comprehensive review of large language models in bioinformatics | Scientific Large Language Models: A Survey on Biological & Chemical Domains
