id,title,authors,venue,year,cites,accepted_at_step,url,x,y,topic,topic_label,community_louvain,community_leiden,community_walktrap,community_infomap,community_label_propagation
5ff17368b70aadad94340002f810e75057b6efe4,Autonomous biomedical research with an artificial intelligence agent.,Kexin Huang · Serena Zhang · Hanchen Wang · Yuanhao Qu · Yingzhou Lu · Ryan Li · Yusuf H. Roohani · Lin Qiu · Shiyi Cao · Gavin Li · Junze Zhang · Di Yin · R. Wierenga · Deniz Kavi · Sherry Liu · Tianwei She · S. Marwaha · Jennefer N Carter · Xin Zhou · Matthew T. Wheeler · Jonathan A. Bernstein · Mengdi Wang · Peng He · Jingtian Zhou · Michael P. Snyder · Le Cong · Aviv Regev · J. Leskovec,Science,2026,2,SED-01,https://www.semanticscholar.org/paper/5ff17368b70aadad94340002f810e75057b6efe4,828.57,506.68,12,Biomedical Lab Agents,0,9,0,0,0
390c607723e9767a9a873ded3bc1f66808215e8e,Accelerating scientific discovery with Co-Scientist,Juraj Gottweis · Wei-Hung Weng · A. Daryin · Tao Tu · Anil Palepu · Petar Sirkovic · Artiom Myaskovsky · Felix Weissenberger · Keran Rong · Ryutaro Tanno · Khaled Saab · D. Popovici · Jacob Blum · Fan Zhang · Katherine Chou · Avinatan Hassidim · Burak Gokturk · Amin Vahdat · Pushmeet Kohli · Yossi Matias · A. Carroll · Kavita Kulkarni · Nenad Tomašev · Yuan Guan · Vikram Dhillon · E. D. Vaishnav · Byron Lee · Tiago R. D. Costa · José R. Penadés · Gary Peltz · Yunhan Xu · Annalisa Pawlosky · A. Karthikesalingam · Vivek Natarajan,Nature,2025,349,SED-01,https://www.semanticscholar.org/paper/390c607723e9767a9a873ded3bc1f66808215e8e,813.38,476.68,12,Biomedical Lab Agents,1,1,1,1,1
ddaac3c134274b3f40f8bcbad705d80b00af3198,A multi-agent system for automating scientific discovery,A. Ghareeb · Benjamin Chang · L. Mitchener · Angela Yiu · Caralyn J. Szostkiewicz · D. Shved · Gavin Gyimesi · Jon M. Laurent · S. Wright · Muhammed Razzak · Andrew D. White · S. Finnemann · Michaela M. Hinks · S. Rodriques,Nature,2026,40,SED-01,https://www.semanticscholar.org/paper/ddaac3c134274b3f40f8bcbad705d80b00af3198,838.35,480.76,12,Biomedical Lab Agents,2,10,2,2,2
8a4d17426f6ceb4d53bb9850f21838ddfc14c26a,An AI system to help scientists write expert-level empirical software,Eser Aygün · Anastasiya Belyaeva · Gheorghe Comanici · Marc Coram · Hao Cui · Jake Garrison · Renee Johnston · A. Kast · Cory Y. McLean · Peter C. Norgaard · Zahra Shamsi · David Smalling · James Thompson · S. Venugopalan · Brian P. Williams · Chujun He · Sarah Martinson · Martyna Plomecka · Lai Wei · Yuchen Zhou · Qian-Ze Zhu · Matthew Abraham · Erica Brand · Anna Bulanova · J. Cardille · Chris Co · Scott Ellsworth · Grace Joseph · M. Kane · R. Krueger · Johan Kartiwa · D. Liebling · Jan-Matthis Lueckmann · Paul Raccuglia · Xuefei Wang · Katherine Chou · J. Manyika · Y. Matias · J.C. Platt · Lizzie Dorfman · Shibl Mourad · Michael P. Brenner,Nature,2026,1,SED-01,https://www.semanticscholar.org/paper/8a4d17426f6ceb4d53bb9850f21838ddfc14c26a,823.97,342.05,9,Autonomous Research Loops,3,11,3,3,3
de28e4cbee455fba136072a0f922c49698b0fb58,Synthesizing scientific literature with retrieval-augmented language models,Akari Asai · Jacqueline He · Rulin Shao · Weijia Shi · Amanpreet Singh · J. Chang · Kyle Lo · Luca Soldaini · Sergey Feldman · Mike D'Arcy · David Wadden · Matt Latzke · Jenna Sparks · Jena D. Hwang · V. Kishore · Minyang Tian · Pan Ji · Shengyan Liu · Hao Tong · Bohao Wu · Yanyu Xiong · Luke S. Zettlemoyer · Graham Neubig · Dan Weld · Doug Downey · Wen-tau Yih · Pang Wei Koh · Hanna Hajishirzi,Nature,2026,51,SED-01,https://www.semanticscholar.org/paper/de28e4cbee455fba136072a0f922c49698b0fb58,500.16,913.14,2,Literature Screening,4,2,4,4,1
7e55d8701785818776323b4147cb13354c820469,PaperQA: Retrieval-Augmented Generative Agent for Scientific Research,Jakub L'ala · Odhran O'Donoghue · Aleksandar Shtedritski · Sam Cox · S. Rodriques · Andrew D. White,arXiv.org,2023,195,SED-01,https://www.semanticscholar.org/paper/7e55d8701785818776323b4147cb13354c820469,520.35,917.44,2,Literature Screening,1,1,1,1,4
6fe3779fe5f2e9402abdd08ad8db41a0f13a99eb,Autonomous chemical research with large language models,Daniil A. Boiko · R. MacKnight · Benjamin C Kline · Gabe Gomes,Nature,2023,1077,SED-01,https://www.semanticscholar.org/paper/6fe3779fe5f2e9402abdd08ad8db41a0f13a99eb,646.01,618.21,14,Autonomous Chemistry Labs,1,0,1,1,4
ed32e5bb11a9e5e2f03ea805782e8670a6e10efd,AlphaEvolve: A coding agent for scientific and algorithmic discovery,Alexander Novikov · Ngân V˜u · Marvin Eisenberger · Emilien Dupont · Po-Sen Huang · Adam Zsolt Wagner · S. Shirobokov · B. Kozlovskii · Francisco J. R. Ruiz · Abbas Mehrabian · M. P. Kumar · Abigail See · Swarat Chaudhuri · George Holland · Alex Davies · Sebastian Nowozin · Pushmeet Kohli · Matej Balog · Google DeepMind,arXiv.org,2025,630,FWD-02,https://www.semanticscholar.org/paper/ed32e5bb11a9e5e2f03ea805782e8670a6e10efd,416.21,247.04,1,Evolved Algorithm Design,5,6,4,5,1
dc491963de5b0e69b10094092753f010c3f72977,Deep Research Agents: A Systematic Examination And Roadmap,Yuxuan Huang · Yihang Chen · Haozhen Zhang · Kang Li · Meng Fang · Linyi Yang · Xiaoguang Li · Lifeng Shang · Songcen Xu · Jianye Hao · Kun Shao · Jun Wang,arXiv.org,2025,111,FWD-02,https://www.semanticscholar.org/paper/dc491963de5b0e69b10094092753f010c3f72977,799.6,129.07,3,Deep Research Agents,4,3,4,4,1
52b6d5416af1208e2c75dc86c7d82c3b255b2088,Exploring the role of large language models in the scientific method: from hypothesis to discovery,Yanbo Zhang · S. Khan · Adnan Mahmud · Huck Yang · Alexander Lavin · Michael Levin · Jeremy Frey · Jared Dunnmon · James Evans · Alan Bundy · S. Džeroski · Jesper Tegnér · Hector Zenil,npj Artificial Intelligence,2025,109,FWD-02,https://www.semanticscholar.org/paper/52b6d5416af1208e2c75dc86c7d82c3b255b2088,719.49,436.62,11,Discovery Agent Surveys,1,0,1,1,4
